Date,Average
2014-04-30,25.0
2014-05-01,24.92396113401277
2014-05-02,28.0
2014-05-03,25.02811787607506
2014-05-04,28.0
2014-05-05,29.0
2014-05-06,29.0
2014-05-07,29.0
2014-05-08,30.0
2014-05-09,29.0
2014-05-10,25.75481824458188
2014-05-11,29.0
2014-05-12,29.0
2014-05-13,28.0
2014-05-14,26.03413830459932
2014-05-15,28.0
2014-05-16,28.0
2014-05-17,26.162975711771622
2014-05-18,28.0
2014-05-19,28.0
2014-05-20,28.0
2014-05-21,27.0
2014-05-22,29.0
2014-05-23,28.0
2014-05-24,26.49870903258684
2014-05-25,28.0
2014-05-26,29.0
2014-05-27,29.0
2014-05-28,29.0
2014-05-29,26.782756030102984
2014-05-30,31.0
2014-05-31,26.925554743488338
2014-06-01,31.0
2014-06-02,33.0
2014-06-03,33.0
2014-06-04,33.0
2014-06-05,33.0
2014-06-06,34.0
2014-06-07,28.00774108898808
2014-06-08,34.0
2014-06-09,34.0
2014-06-10,35.0
2014-06-11,34.0
2014-06-12,35.0
2014-06-13,35.0
2014-06-14,29.19365605588292
2014-06-15,37.0
2014-06-16,37.0
2014-06-17,37.0
2014-06-18,37.0
2014-06-19,39.0
2014-06-20,38.0
2014-06-21,30.712130609085644
2014-06-22,30.712130609085644
2014-06-23,40.0
2014-06-24,38.0
2014-06-25,41.0
2014-06-26,39.0
2014-06-27,41.0
2014-06-28,32.12825558040072
2014-06-29,41.0
2014-06-30,41.0
2014-07-01,41.0
2014-07-02,41.0
2014-07-03,41.0
2014-07-04,41.0
2014-07-05,41.0
2014-07-06,46.0
2014-07-07,38.0
2014-07-08,36.0
2014-07-09,37.0
2014-07-10,36.0
2014-07-11,36.0
2014-07-12,37.0
2014-07-13,44.0
2014-07-14,37.0
2014-07-15,37.0
2014-07-16,37.0
2014-07-17,36.0
2014-07-18,37.0
2014-07-19,41.0
2014-07-20,41.0
2014-07-21,41.0
2014-07-22,41.0
2014-07-23,41.0
2014-07-24,41.0
2014-07-25,41.0
2014-07-26,41.0
2014-07-27,41.0
2014-07-28,41.0
2014-07-29,41.0
2014-07-30,41.0
2014-07-31,42.0
2014-08-01,41.0
2014-08-02,41.0
2014-08-03,43.0
2014-08-04,43.0
2014-08-05,43.0
2014-08-06,45.0
2014-08-07,45.0
2014-08-08,45.0
2014-08-09,45.0
2014-08-10,45.0
2014-08-11,46.0
2014-08-12,46.0
2014-08-13,46.0
2014-08-14,47.0
2014-08-15,49.0
2014-08-16,49.0
2014-08-17,49.0
2014-08-18,49.0
2014-08-19,53.0
2014-08-20,51.0
2014-08-21,46.0
2014-08-22,46.0
2014-08-23,46.0
2014-08-24,46.0
2014-08-25,46.0
2014-08-26,46.0
2014-08-27,46.0
2014-08-28,46.0
2014-08-29,46.0
2014-08-30,42.9427871550447
2014-08-31,51.0
