Date,Average
10/30/2014,रू ४०.००
10/31/2014,रू ५५.००
11/01/2014,रू ५२.००
11/02/2014,रू ५१.००
11/03/2014,रू ४७.००
11/04/2014,रू ४७.००
11/05/2014,रू ४८.००
11/06/2014,रू ४७.००
11/07/2014,रू ४७.००
11/08/2014,रू ४९.००
11/09/2014,रू ४८.००
11/10/2014,रू ४६.००
11/11/2014,रू ४३.००
11/12/2014,रू ४२.००
11/13/2014,रू ४३.००
11/14/2014,रू ४१.००
11/15/2014,रू ४१.००
11/16/2014,रू ४१.००
11/17/2014,रू ३९.००
11/18/2014,रू ३९.००
11/19/2014,रू ३७.००
11/20/2014,रू ३७.००
11/21/2014,रू ३६.००
11/22/2014,रू ४२.००
11/23/2014,रू ३८.००
11/24/2014,रू ४१.००
11/25/2014,रू ४१.००
11/26/2014,रू ४१.००
11/27/2014,रू ४१.००
11/28/2014,रू ३९.००
11/29/2014,रू ३६.००
11/30/2014,रू ४१.००
12/01/2014,रू ३९.००
12/02/2014,रू ३३.००
12/03/2014,रू ३४.००
12/04/2014,रू ३५.००
12/05/2014,रू ३६.००
12/06/2014,रू ३६.००
12/07/2014,रू ३५.००
12/08/2014,रू ३४.००
12/09/2014,रू ३९.००
12/10/2014,रू ३९.००
12/11/2014,रू ३३.००
12/12/2014,रू २९.००
12/13/2014,रू २९.००
12/14/2014,रू २९.००
12/15/2014,रू ३०.००
12/16/2014,रू २९.००
12/17/2014,रू ३१.००
12/18/2014,रू ३०.००
12/19/2014,रू २८.००
12/21/2014,रू २७.००
12/22/2014,रू २५.००
12/23/2014,रू २७.००
12/24/2014,रू २४.००
12/25/2014,रू २२.००
12/26/2014,रू २४.००
12/27/2014,रू २२.००
12/28/2014,रू २५.००
12/29/2014,रू २३.००
12/30/2014,रू २२.००
12/31/2014,रू २०.००
01/01/2015,रू २१.००
01/02/2015,रू २१.००
01/03/2015,रू २२.००
01/04/2015,रू २१.००
01/05/2015,रू २२.००
01/06/2015,रू २१.००
01/07/2015,रू २३.००
01/08/2015,रू २२.००
01/09/2015,रू २२.००
01/11/2015,रू २२.००
01/12/2015,रू २०.००
01/13/2015,रू २१.००
01/14/2015,रू २१.००
01/15/2015,रू २१.००
01/16/2015,रू २२.००
01/17/2015,रू २१.००
01/18/2015,रू २२.००
01/19/2015,रू २१.००
01/20/2015,रू २०.००
01/21/2015,रू २१.००
01/22/2015,रू २१.००
01/23/2015,रू २१.००
01/25/2015,रू २४.००
01/26/2015,रू २१.००
01/27/2015,रू २०.००
01/28/2015,रू १९.००
01/29/2015,रू २१.००
01/31/2015,रू २१.००
02/01/2015,रू २१.००
02/02/2015,रू २१.००
02/03/2015,रू २१.००
02/04/2015,रू २१.००
02/05/2015,रू १९.००
02/06/2015,रू १९.००
02/07/2015,रू १९.००
02/08/2015,रू १९.००
02/09/2015,रू १९.००
02/10/2015,रू १९.००
02/11/2015,रू १९.००
02/12/2015,रू १९.००
02/13/2015,रू १९.००
02/14/2015,रू १८.००
02/15/2015,रू १८.००
02/16/2015,रू १८.००
02/18/2015,रू १८.००
02/19/2015,रू १७.००
02/20/2015,रू १९.००
02/22/2015,रू १९.००
02/23/2015,रू १९.००
02/24/2015,रू १९.००
02/25/2015,रू १९.००
02/26/2015,रू १९.००
02/27/2015,रू १९.००
03/01/2015,रू १९.००
03/02/2015,रू १९.००
